latitude,longitude
21.7549012,102.9450717
21.5031698,105.3272715
13.7674794,109.1486032
21.401548,106.6505662
21.3358241,105.3510748
10.049265,106.3791172
18.8823043,105.5192345
11.629016,106.1837478
21.3732126,105.654721
21.2203788,106.3913724
10.421671,106.3657344
10.9306601,106.7579771
10.6388263,105.1492988
19.175382,105.7161037
20.6623195,106.6552362
19.8006399,105.596104
10.3581923,106.7002111
20.3563344,105.8217622
20.2250498,106.0276005
22.2789778,103.5954188
15.2534418,108.6083303
10.3238504,106.6331734
18.8989969,105.4792576
10.8336844,106.8173119
13.2998325,109.2597547
10.9515839,106.6767125
20.0762308,105.8119623
21.429477,106.073555
21.2256267,103.4998557
21.3372725,106.506445
21.7929463,105.1189524
19.8360415,105.8408734
20.6497265,106.0537646
15.8284187,107.9278703
21.5607076,105.171871
9.413986,105.4775058
21.1228395,105.0092819
20.9172063,105.6221335
18.4945902,105.8685493
15.0827174,108.5370352
20.9509621,106.5205877
19.3725056,105.7769648
10.3415327,107.0841704
20.3328126,106.3002063
10.7671417,106.4038363
21.033397,105.7916143
10.0107588,105.7802513
23.1528582,105.2789388
13.32703,109.2418134
20.3207089,106.3557387
11.3594485,107.4203172
18.0897727,106.1816664
20.3845143,105.7948321
8.849116,104.8692952
14.9105864,108.3557618
10.8943943,107.3451912
18.3936617,105.5921275
10.8005153,106.616692
10.9204335,107.1352299
20.5292857,105.3423143
21.8578269,104.6935916
22.3842162,102.9114917
21.7969547,106.1405052
21.4497742,105.8655479
10.7429744,106.7281078
9.824021,105.2475134
9.3455695,106.016216
21.2264214,105.9697335
22.703586,105.0397653
18.5039131,105.6855824
10.9744005,106.5128052
10.8114175,106.4706613
21.4400775,106.6127993
21.1091377,106.483494
21.6101805,105.0482686
15.2973804,108.7490912
20.7902689,106.8633272
11.4494175,106.1329012
10.2057408,106.6993946
10.9680936,106.9677966
22.1714656,103.7555992
10.5890795,106.3428464
10.5311413,106.4061204
21.4198468,105.8702821
20.0238955,105.4300242
20.2090635,106.2201218
21.288463,105.7014597
11.0452118,107.1759426
12.9880281,109.2756889
21.6135128,105.1036906
22.2673008,105.2959057
22.035679,104.3868356
10.8331572,106.6831693
21.37268,103.7535209
16.0670906,108.2362751
9.68777,105.2354582
21.30979,105.9147746
13.099067,108.3548766
20.1691768,106.291619
13.9459264,108.1259722
12.2785788,107.3692587
12.6159492,108.2510912
10.4287863,106.1808187
10.5842657,106.3862622
17.8665269,106.4452421
12.6789597,108.3881831
20.0397557,105.9698059
21.7375128,105.2538318
19.0225528,104.9717669
10.8192253,106.6782679
15.1470351,108.8364059
11.6325022,108.1557119
20.9675412,105.7597459
16.5706972,107.4502874
18.6746025,105.7207744
17.4796903,106.6234337
21.5266055,106.0886755
21.8871677,106.2225936
11.3434123,106.9118268
16.0691874,108.1768981
14.0167287,107.9835476
11.4811208,106.0250287
20.9811491,106.3099363
20.9794847,105.8338751
11.0350687,107.4380855
15.3090935,108.7519701
21.3831348,106.6111501
19.9539507,105.839733
21.2359536,106.0874256
21.2224043,106.2094513
21.4301413,105.2656893
21.9473346,105.3276846
21.4013918,105.1364743
12.6569561,108.1244749
10.8158235,106.90457
21.2815817,105.8623246
20.5986367,106.6113102
20.9373625,106.4603432
21.6328814,104.8579305
20.0806804,105.9929978
10.7808872,106.6507516
20.741208,106.4822542
20.3497485,105.9683217
21.8535529,105.6260075
21.3452542,105.9321305
21.6735084,105.8920081
10.7592172,107.31149
18.7439626,105.5959752
21.5591367,105.1266532
10.7641704,105.8476442
21.5383936,105.019305
19.668456,105.8233374
10.8371684,106.5488108
10.0210579,106.5416792
21.1739692,105.6736856
11.9163596,106.7250578
21.5907411,106.075628
18.675163,105.7077134
11.1671813,106.8799745
18.4800008,105.5445707
20.1177714,105.290569
10.959129,106.9326568
21.8990054,105.1792753
21.1087787,105.1615754
10.7445947,107.7232941
21.0550308,105.6154399
10.7655746,106.6967928
19.9478159,105.9314184
20.9827206,106.1424217
21.2228676,106.3078094
10.4456922,105.2955091
11.101944,106.935858
20.8511044,106.502405
20.8363175,106.7305952
20.10729,106.2287454
21.4266898,105.1661737
21.465519,105.7454688
13.9996003,109.0649451
21.3184918,103.24334
15.6807693,108.4183765
11.3782993,106.0464127
10.4062003,107.1179923
22.1588481,105.5933386
10.9327188,106.7009319
10.8432899,106.6693894
11.8133282,107.2503564
11.9280386,107.2118169
21.3910198,105.823751
20.1763057,105.9108734
21.0470985,105.8492951
10.7382477,106.6192321
20.8683389,105.8139071
14.3367211,107.9795846
21.5630674,105.8744985
10.0986596,106.301706
10.4334938,106.658195
22.0894321,103.5763446
12.2004829,109.0745254
21.016917,105.9549235
14.0870476,108.5570696
21.3915849,105.6084099
21.7670565,105.7519151
10.6522573,106.6102338
20.9211448,106.5273415
11.5581777,108.8939966
18.4572918,105.2839572
20.9549898,105.5660162
14.4436312,107.9545046
21.2735088,105.0441617
9.3312335,105.0948554
15.2415448,108.7637376
18.373854,105.8993072
21.5969897,105.6019122
21.6971503,104.8236372
18.9320008,105.5394021
22.2907245,103.6467804
21.4642761,106.3113233
21.7263195,104.3805832
16.7067377,107.2661301
21.2094742,103.9674418
10.8503162,107.8787527
21.4905288,103.6615198
21.4626594,106.0826178
18.6705078,105.6959518
13.9595133,107.5335752
16.7004377,107.2644808
16.5049732,107.6012789
21.4487185,105.2944595
20.0490482,105.9595641
21.344767,105.3367459
12.1942846,109.1383472
14.9606732,107.9317723
18.8814797,105.6405285
16.5176067,107.5298935
19.8145908,105.7695331
10.483503,106.3597327
21.3968731,105.2838358
21.5497138,105.8384442
20.8120597,106.8872534
10.782246,106.7876041
10.8599306,106.740547
10.9433947,106.6707149
22.311009,104.2651275
10.2765407,105.5728311
21.4904771,105.7846364
19.685917,105.8351087
23.2334133,105.0380526
21.2271768,103.8749492
10.8348244,106.6664854
11.5579543,107.8977907
11.029551,108.1650569
21.4379797,106.2518652
10.4992982,105.3732272
10.9539901,108.1047452
18.7500457,105.5179095
11.8618038,108.3371378
10.8210083,106.7707291
20.9466492,105.7718464
21.4747659,106.122906
16.8040649,107.1072501
21.9032896,105.5425322
13.7724884,109.2249562
10.5138186,107.2851632
21.2388093,105.3442244
22.5193757,103.370843
16.0070417,108.218218
11.5384098,108.89066
20.2313838,106.1441651
21.8170265,106.2820642
11.5913296,109.0531281
21.1235422,106.0083119
10.450778,105.9131438
9.2415118,105.4693937
10.6520213,107.2381064
21.7456691,105.2803875
10.9536764,108.1445511
20.2765181,105.3033936
20.6041184,105.9910542
14.4065757,108.1243542
21.5020397,105.2261684
22.2498003,105.1956428
21.8428217,106.4323764
16.4818986,107.5890576
10.2975076,106.2323065
19.1322614,105.638896
11.2778632,107.4243298
10.9838322,106.5233429
8.6451894,105.0439055
21.2368773,105.8407026
12.729284,108.1035832
20.8413034,105.5118746
19.2366961,105.5461585
18.9326206,105.2789636
21.3974151,106.2952372
22.7812957,106.8295875
21.2461485,104.1812906
14.1938577,107.855574
21.3361011,105.9386614
16.7143346,107.268985
12.2894053,109.1874196
21.3685418,106.5128629
10.7426445,106.7365621
21.3732524,106.2724323
22.2505786,103.8869011
10.3956797,105.4133689
10.6629308,107.7527871
16.0411936,108.2423236
14.1697123,109.1409744
15.4347438,108.6878984
23.0213686,104.965831
21.7566859,105.0631661
10.9342502,106.2396205
20.6724677,106.4817026
21.6091356,106.7435733
10.8170038,107.5739689
20.3921158,106.3417474
21.0484623,105.8051624
10.1825363,105.9446834
21.6574596,105.7865458
12.500543,108.5146764
20.3868944,106.4393021
20.9925302,105.3171034
9.1808717,105.1688784
16.3170824,107.7784085
10.1714944,106.2038273
14.2845417,108.9906829
21.6301443,105.1929519
20.3479862,105.9280517
17.7989614,106.2444224
10.846009,107.8738115
21.1153921,106.2222579
11.0659714,106.3035581
22.0775833,104.4529331
21.2020744,105.9096192
10.8056988,107.7195498
20.9996631,105.7472423
21.0409456,105.9973808
21.2540568,106.5882638
21.1615375,105.783876
22.362382,105.1864561
10.4162681,106.3958676
18.0347271,106.3536262
10.8974805,106.7168358
10.8939939,106.8039724
21.4393435,105.2078301
11.3463485,106.3576024
10.6623971,106.4918485
10.7867787,106.523121
14.3418341,108.1270096
10.2945889,106.0289561
10.6596076,106.6891332
21.3794063,106.3213418
12.6685534,108.0161543
21.5242717,105.2576552
20.6599632,106.4153083
14.0628523,107.9249261
22.0468388,106.1560352
10.2425677,106.3498405
18.537594,105.701759
21.17933,106.0602727
18.4655684,105.8713388
10.9606048,107.3233153
22.1881675,103.1700781
12.4874788,108.3001328
15.4073361,108.8146224
10.3022166,106.3485776
10.803285,106.589213
